date,hour,PlayStation5,PlayStation5 DE,XboxSX,XboxSS,Switchグレー,Switchネオン,SwitchLiteターコイズ
2021年08月07日,17時,"80,000円","69,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月07日,21時,"80,000円","69,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月07日,22時,"80,000円","69,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月07日,23時,"80,000円","69,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,00時,"80,000円","69,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,01時,"78,000円","67,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,02時,"78,000円","67,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,03時,"78,000円","67,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,04時,"78,000円","67,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,05時,"78,000円","67,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,06時,"78,000円","67,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,07時,"78,000円","67,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,08時,"78,000円","67,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,09時,"78,000円","67,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,10時,"78,000円","67,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,11時,"78,000円","67,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,12時,"78,000円","67,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,13時,"78,000円","67,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,14時,"78,000円","67,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,15時,"78,000円","67,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,16時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,17時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,18時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,19時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,20時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,21時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,22時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月08日,23時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,00時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,01時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,02時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,03時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,04時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,05時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,06時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,07時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,08時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,09時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,10時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,11時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,12時,"79,000円","68,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,13時,"81,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,14時,"81,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,15時,"81,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,16時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,17時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,18時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,19時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,20時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,21時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,22時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月09日,23時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月10日,00時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月10日,01時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月10日,02時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月10日,03時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月10日,04時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月10日,05時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月10日,06時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月10日,07時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月10日,08時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月10日,09時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月10日,10時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月10日,11時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
2021年08月10日,12時,"82,000円","70,000円","66,000円","36,000円","32,500円","31,500円","18,700円"
